cluster_id,household_id,child_age_months,child_sex,mother_education,urban_rural,district,wealth_index,disability,province
2.0,9.0,10.0,0,0.0,1,1.0,2.0,0.0,0
2.0,9.0,8.0,0,0.0,1,1.0,2.0,0.0,0
2.0,9.0,38.0,0,0.0,1,1.0,2.0,2.0,0
2.0,9.0,29.0,1,0.0,1,1.0,2.0,2.0,0
2.0,9.0,8.0,1,0.0,1,1.0,2.0,0.0,0
2.0,9.0,4.0,0,0.0,1,1.0,2.0,0.0,0
2.0,9.0,2.0,0,0.0,1,1.0,2.0,0.0,0
2.0,10.0,76.0,1,0.0,1,1.0,1.0,1.0,0
2.0,10.0,36.0,1,0.0,1,1.0,1.0,2.0,0
2.0,10.0,37.0,0,0.0,1,1.0,1.0,2.0,0
2.0,10.0,19.0,1,0.0,1,1.0,1.0,2.0,0
2.0,10.0,17.0,1,0.0,1,1.0,1.0,0.0,0
2.0,10.0,15.0,1,0.0,1,1.0,1.0,0.0,0
2.0,10.0,13.0,1,0.0,1,1.0,1.0,0.0,0
2.0,10.0,12.0,0,0.0,1,1.0,1.0,0.0,0
2.0,10.0,3.0,0,0.0,1,1.0,1.0,0.0,0
2.0,11.0,31.0,1,0.0,1,1.0,1.0,2.0,0
2.0,11.0,40.0,0,0.0,1,1.0,1.0,2.0,0
2.0,11.0,12.0,0,0.0,1,1.0,1.0,0.0,0
2.0,11.0,8.0,1,0.0,1,1.0,1.0,0.0,0
2.0,11.0,3.0,1,0.0,1,1.0,1.0,0.0,0
2.0,12.0,33.0,0,0.0,1,1.0,1.0,2.0,0
2.0,12.0,32.0,1,0.0,1,1.0,1.0,2.0,0
2.0,12.0,12.0,0,0.0,1,1.0,1.0,0.0,0
2.0,12.0,11.0,0,0.0,1,1.0,1.0,0.0,0
2.0,12.0,5.0,1,0.0,1,1.0,1.0,0.0,0
2.0,12.0,3.0,0,0.0,1,1.0,1.0,0.0,0
2.0,12.0,2.0,0,0.0,1,1.0,1.0,0.0,0
2.0,13.0,39.0,0,0.0,1,1.0,2.0,2.0,0
2.0,13.0,37.0,1,0.0,1,1.0,2.0,2.0,0
2.0,13.0,14.0,0,0.0,1,1.0,2.0,0.0,0
2.0,13.0,11.0,1,0.0,1,1.0,2.0,0.0,0
2.0,13.0,10.0,1,0.0,1,1.0,2.0,0.0,0
2.0,13.0,8.0,0,0.0,1,1.0,2.0,0.0,0
2.0,13.0,4.0,0,0.0,1,1.0,2.0,0.0,0
2.0,13.0,2.0,1,0.0,1,1.0,2.0,0.0,0
2.0,14.0,37.0,0,0.0,1,1.0,4.0,2.0,0
2.0,14.0,36.0,1,0.0,1,1.0,4.0,2.0,0
2.0,14.0,10.0,0,0.0,1,1.0,4.0,0.0,0
2.0,14.0,2.0,1,0.0,1,1.0,4.0,0.0,0
2.0,15.0,54.0,0,0.0,1,1.0,3.0,2.0,0
2.0,15.0,32.0,1,0.0,1,1.0,3.0,2.0,0
2.0,15.0,10.0,0,2.0,1,1.0,3.0,0.0,0
2.0,15.0,7.0,0,2.0,1,1.0,3.0,0.0,0
2.0,15.0,6.0,1,2.0,1,1.0,3.0,0.0,0
2.0,15.0,3.0,1,2.0,1,1.0,3.0,0.0,0
2.0,15.0,2.0,1,2.0,1,1.0,3.0,0.0,0
2.0,15.0,0.0,0,2.0,1,1.0,3.0,0.0,0
2.0,16.0,62.0,1,0.0,1,1.0,1.0,1.0,0
2.0,16.0,84.0,0,0.0,1,1.0,1.0,1.0,0
2.0,16.0,29.0,1,0.0,1,1.0,1.0,2.0,0
2.0,16.0,10.0,0,0.0,1,1.0,1.0,0.0,0
2.0,16.0,6.0,0,0.0,1,1.0,1.0,0.0,0
2.0,16.0,26.0,0,0.0,1,1.0,1.0,2.0,0
2.0,16.0,23.0,1,0.0,1,1.0,1.0,2.0,0
2.0,16.0,6.0,1,0.0,1,1.0,1.0,0.0,0
2.0,16.0,4.0,0,0.0,1,1.0,1.0,0.0,0
2.0,16.0,28.0,0,0.0,1,1.0,1.0,2.0,0
2.0,17.0,30.0,1,0.0,1,1.0,2.0,2.0,0
2.0,17.0,11.0,0,0.0,1,1.0,2.0,0.0,0
2.0,17.0,8.0,0,0.0,1,1.0,2.0,0.0,0
2.0,17.0,3.0,0,0.0,1,1.0,2.0,0.0,0
2.0,18.0,35.0,0,0.0,1,1.0,1.0,2.0,0
2.0,18.0,34.0,1,0.0,1,1.0,1.0,2.0,0
2.0,18.0,9.0,0,3.0,1,1.0,1.0,0.0,0
2.0,18.0,7.0,1,3.0,1,1.0,1.0,0.0,0
2.0,18.0,5.0,0,3.0,1,1.0,1.0,0.0,0
2.0,18.0,4.0,1,3.0,1,1.0,1.0,0.0,0
2.0,18.0,1.0,1,3.0,1,1.0,1.0,0.0,0
2.0,19.0,54.0,0,0.0,1,1.0,2.0,2.0,0
2.0,19.0,62.0,1,0.0,1,1.0,2.0,2.0,0
2.0,19.0,38.0,0,0.0,1,1.0,2.0,2.0,0
2.0,19.0,29.0,1,0.0,1,1.0,2.0,2.0,0
